	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	73200	74400	75600	76800	78000	79200	80400	81600	82800	84000	85200	86400	87600	88800	90000	91200	92400	93600	94800	96000	97200	98400	99600	100800	102000	103200	104400	105600	106800	108000	109200	110400	111600	112800	114000	115200	116400	117600	118800	120000	121200	122400	123600	124800	126000	127200	128400	129600
A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.414213562	5.656854249	7.778174593	9.192388155	9.899494937	10.60660172	11.3137085	11.3137085	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	14.14213562	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.97056275	16.97056275	16.97056275	17.67766953	17.67766953	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125
A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.949747468	7.778174593	8.485281374	8.485281374	9.192388155	9.899494937	9.899494937	10.60660172	10.60660172	11.3137085	11.3137085	12.02081528	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	13.43502884	14.14213562	14.14213562	14.8492424	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.26345597	16.97056275	16.97056275	16.97056275	17.67766953	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	25.45584412
A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.949747468	8.485281374	9.192388155	9.899494937	10.60660172	10.60660172	11.3137085	12.02081528	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	14.14213562	14.14213562	14.8492424	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.97056275	16.97056275	16.97056275	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803
A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.656854249	9.192388155	9.899494937	10.60660172	10.60660172	11.3137085	12.02081528	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	14.14213562	14.14213562	14.8492424	14.8492424	15.55634919	15.55634919	15.55634919	16.26345597	16.26345597	16.97056275	16.97056275	16.97056275	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803
A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.414213562	3.535533906	6.363961031	9.192388155	9.899494937	10.60660172	11.3137085	12.02081528	12.72792206	13.43502884	13.43502884	14.14213562	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.97056275	16.97056275	17.67766953	17.67766953	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803
A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.949747468	7.071067812	9.192388155	9.899494937	10.60660172	11.3137085	11.3137085	12.02081528	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	14.14213562	14.14213562	14.14213562	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.26345597	16.97056275	16.97056275	17.67766953	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	28.28427125	28.28427125	28.28427125	28.28427125	28.28427125	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803	29.69848481	29.69848481	29.69848481	29.69848481
A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.535533906	5.656854249	7.778174593	8.485281374	9.192388155	9.899494937	10.60660172	10.60660172	11.3137085	11.3137085	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	13.43502884	14.14213562	14.14213562	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.26345597	16.97056275	16.97056275	17.67766953	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	20.50609665	20.50609665	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447
A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.949747468	8.485281374	9.192388155	9.899494937	9.899494937	10.60660172	11.3137085	11.3137085	12.02081528	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	14.14213562	14.14213562	14.14213562	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.26345597	16.97056275	16.97056275	17.67766953	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	26.87005769
A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.242640687	7.071067812	9.192388155	9.899494937	10.60660172	10.60660172	11.3137085	11.3137085	12.02081528	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	14.14213562	14.14213562	14.8492424	14.8492424	15.55634919	15.55634919	15.55634919	16.26345597	16.26345597	16.97056275	16.97056275	17.67766953	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	28.28427125	28.28427125	28.28427125	28.28427125	28.99137803	28.99137803	28.99137803	28.99137803	28.99137803
A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.121320344	6.363961031	8.485281374	9.192388155	9.192388155	9.899494937	10.60660172	10.60660172	11.3137085	11.3137085	12.02081528	12.02081528	12.02081528	12.72792206	12.72792206	13.43502884	13.43502884	14.14213562	14.14213562	14.8492424	14.8492424	14.8492424	15.55634919	15.55634919	16.26345597	16.26345597	16.26345597	16.97056275	16.97056275	16.97056275	17.67766953	17.67766953	18.38477631	18.38477631	18.38477631	19.09188309	19.09188309	19.09188309	19.79898987	19.79898987	19.79898987	20.50609665	20.50609665	20.50609665	21.21320344	21.21320344	21.21320344	21.92031022	21.92031022	21.92031022	22.627417	22.627417	22.627417	22.627417	23.33452378	23.33452378	23.33452378	23.33452378	24.04163056	24.04163056	24.04163056	24.74873734	24.74873734	24.74873734	24.74873734	25.45584412	25.45584412	25.45584412	25.45584412	25.45584412	26.1629509	26.1629509	26.1629509	26.1629509	26.1629509	26.87005769	26.87005769	26.87005769	26.87005769	26.87005769	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447	27.57716447
